x,y,z,J
1.0,0.0,6.0,0.768
1.0,0.0,7.0,0.769
1.0,0.0,8.0,0.77
1.0,0.0,9.0,0.771
1.0,0.0,10.0,0.772
1.0,1.0,0.0,0.766
1.0,1.0,1.0,0.767
1.0,1.0,2.0,0.767
1.0,1.0,3.0,0.767
1.0,1.0,4.0,0.768
1.0,1.0,6.0,0.768
1.0,1.0,7.0,0.769
1.0,1.0,8.0,0.77
1.0,1.0,9.0,0.771
1.0,1.0,10.0,0.772
1.0,2.0,0.0,0.765
1.0,2.0,1.0,0.767
1.0,2.0,2.0,0.767
1.0,2.0,3.0,0.767
1.0,2.0,4.0,0.768
1.0,2.0,6.0,0.768
1.0,2.0,7.0,0.769
1.0,2.0,8.0,0.77
1.0,2.0,9.0,0.771
1.0,2.0,10.0,0.772
1.0,3.0,0.0,0.765
1.0,3.0,1.0,0.767
1.0,3.0,2.0,0.767
1.0,3.0,3.0,0.767
1.0,3.0,4.0,0.768
1.0,3.0,6.0,0.768
1.0,3.0,7.0,0.769
1.0,3.0,8.0,0.77
1.0,3.0,9.0,0.771
1.0,3.0,10.0,0.772
1.0,4.0,0.0,0.765
1.0,4.0,1.0,0.768
1.0,4.0,2.0,0.768
1.0,4.0,3.0,0.768
1.0,4.0,4.0,0.768
1.0,4.0,6.0,0.769
1.0,4.0,7.0,0.769
1.0,4.0,8.0,0.77
1.0,4.0,9.0,0.771
1.0,4.0,10.0,0.771
1.0,5.0,0.0,0.764
1.0,5.0,1.0,0.768
1.0,5.0,2.0,0.768
1.0,5.0,3.0,0.769
1.0,5.0,4.0,0.769
1.0,5.0,6.0,0.769
1.0,5.0,7.0,0.769
1.0,5.0,8.0,0.77
1.0,5.0,9.0,0.771
1.0,5.0,10.0,0.77
1.0,6.0,0.0,0.764
1.0,6.0,1.0,0.769
1.0,6.0,2.0,0.77
1.0,6.0,3.0,0.77
1.0,6.0,4.0,0.77
1.0,6.0,6.0,0.77
1.0,6.0,7.0,0.77
1.0,6.0,8.0,0.77
1.0,6.0,9.0,0.77
1.0,6.0,10.0,0.769
1.0,7.0,0.0,0.763
1.0,7.0,1.0,0.77
1.0,7.0,2.0,0.772
1.0,7.0,3.0,0.773
1.0,7.0,4.0,0.772
1.0,7.0,6.0,0.771
1.0,7.0,7.0,0.77
1.0,7.0,8.0,0.769
1.0,7.0,9.0,0.77
1.0,7.0,10.0,0.768
1.0,8.0,0.0,0.762
1.0,8.0,1.0,0.773
1.0,8.0,2.0,0.776
1.0,8.0,3.0,0.777
1.0,8.0,4.0,0.776
1.0,8.0,6.0,0.774
1.0,8.0,7.0,0.771
1.0,8.0,8.0,0.769
1.0,8.0,9.0,0.769
1.0,8.0,10.0,0.766
1.0,9.0,0.0,0.761
1.0,9.0,1.0,0.78
1.0,9.0,2.0,0.781
1.0,9.0,3.0,0.781
1.0,9.0,4.0,0.781
1.0,9.0,6.0,0.779
1.0,9.0,7.0,0.773
1.0,9.0,8.0,0.767
1.0,9.0,9.0,0.767
1.0,9.0,10.0,0.763
1.0,10.0,0.0,0.742
1.0,10.0,1.0,0.746
1.0,10.0,2.0,0.737
1.0,10.0,3.0,0.745
1.0,10.0,4.0,0.754
1.0,10.0,6.0,0.756
1.0,10.0,7.0,0.745
1.0,10.0,8.0,0.726
1.0,10.0,9.0,0.717
1.0,10.0,10.0,0.722
1.0,11.0,0.0,0.753
1.0,11.0,1.0,0.791
1.0,11.0,2.0,0.785
1.0,11.0,3.0,0.799
1.0,11.0,4.0,0.805
1.0,11.0,6.0,0.807
1.0,11.0,7.0,0.804
1.0,11.0,8.0,0.785
1.0,11.0,9.0,0.766
1.0,11.0,10.0,0.768
1.0,12.0,0.0,0.753
1.0,12.0,1.0,0.775
1.0,12.0,2.0,0.775
1.0,12.0,3.0,0.803
1.0,12.0,4.0,0.805
1.0,12.0,6.0,0.804
1.0,12.0,7.0,0.812
1.0,12.0,8.0,0.796
1.0,12.0,9.0,0.752
1.0,12.0,10.0,0.743
1.0,13.0,0.0,0.74
1.0,13.0,1.0,0.751
1.0,13.0,2.0,0.807
1.0,13.0,3.0,0.832
1.0,13.0,4.0,0.824
1.0,13.0,6.0,0.822
1.0,13.0,7.0,0.831
1.0,13.0,8.0,0.837
1.0,13.0,9.0,0.767
1.0,13.0,10.0,0.701
1.0,14.0,0.0,0.659
1.0,14.0,1.0,0.801
1.0,14.0,2.0,0.891
1.0,14.0,3.0,0.874
1.0,14.0,4.0,0.864
1.0,14.0,6.0,0.862
1.0,14.0,7.0,0.869
1.0,14.0,8.0,0.89
1.0,14.0,9.0,0.872
1.0,14.0,10.0,0.624
1.0,15.0,1.0,1.108
1.0,15.0,2.0,1.106
1.0,15.0,3.0,1.091
1.0,15.0,4.0,1.086
1.0,15.0,6.0,1.088
1.0,15.0,7.0,1.096
1.0,15.0,8.0,1.109
1.0,15.0,9.0,1.133
1.0,15.0,10.0,0.896
2.0,0.0,0.0,0.766
2.0,0.0,1.0,0.767
2.0,0.0,2.0,0.767
2.0,0.0,3.0,0.767
2.0,0.0,4.0,0.768
2.0,0.0,6.0,0.768
2.0,0.0,7.0,0.769
2.0,0.0,8.0,0.77
2.0,0.0,9.0,0.771
2.0,0.0,10.0,0.772
2.0,1.0,0.0,0.766
2.0,1.0,1.0,0.767
2.0,1.0,2.0,0.767
2.0,1.0,3.0,0.767
2.0,1.0,4.0,0.768
2.0,1.0,6.0,0.768
2.0,1.0,7.0,0.769
2.0,1.0,8.0,0.77
2.0,1.0,9.0,0.771
2.0,1.0,10.0,0.772
2.0,2.0,0.0,0.765
2.0,2.0,1.0,0.767
2.0,2.0,2.0,0.767
2.0,2.0,3.0,0.767
2.0,2.0,4.0,0.768
2.0,2.0,6.0,0.768
2.0,2.0,7.0,0.769
2.0,2.0,8.0,0.77
2.0,2.0,9.0,0.771
2.0,2.0,10.0,0.772
2.0,3.0,0.0,0.765
2.0,3.0,1.0,0.767
2.0,3.0,2.0,0.767
2.0,3.0,3.0,0.768
2.0,3.0,4.0,0.768
2.0,3.0,6.0,0.768
2.0,3.0,7.0,0.769
2.0,3.0,8.0,0.77
2.0,3.0,9.0,0.771
2.0,3.0,10.0,0.771
2.0,4.0,0.0,0.765
2.0,4.0,1.0,0.768
2.0,4.0,2.0,0.768
2.0,4.0,3.0,0.768
2.0,4.0,4.0,0.768
2.0,4.0,6.0,0.769
2.0,4.0,7.0,0.769
2.0,4.0,8.0,0.77
2.0,4.0,9.0,0.771
2.0,4.0,10.0,0.771
2.0,5.0,0.0,0.764
2.0,5.0,1.0,0.768
2.0,5.0,2.0,0.768
2.0,5.0,3.0,0.769
2.0,5.0,4.0,0.769
2.0,5.0,6.0,0.769
2.0,5.0,7.0,0.769
2.0,5.0,8.0,0.77
2.0,5.0,9.0,0.771
2.0,5.0,10.0,0.77
2.0,6.0,0.0,0.764
2.0,6.0,1.0,0.769
2.0,6.0,2.0,0.77
2.0,6.0,3.0,0.77
2.0,6.0,4.0,0.77
2.0,6.0,6.0,0.77
