% Model:              PINN对比模型.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 11 2026, 16:01
% Dimension:          3
% Nodes:              9008
% Expressions:        1
% Description:        
% Length unit:        null
% x,y,z,Jsolid @ t=2.592E5
-0.01535315464592178,-0.008506230994570386,-0.009999999999999998,0.7250278929882255
-0.01535315464592178,-0.008506230994570386,-0.008888888888888887,0.8622995750207448
-0.015787036663087284,-0.007755577229680242,-0.009999999999999998,0.69628793080341
-0.015787036663087284,-0.007755577229680242,-0.008888888888888887,0.8295891654842324
-0.01582164929497154,-0.009175642897920281,-0.009999999999999998,0.01920882007340997
-0.015821649228317684,-0.009175642829199592,-0.008888888888888887,1.0409831987645477
-0.016618812606548683,-0.008345415450597544,-0.009999999999999998,0.060743237163930264
-0.016618813096266064,-0.008345415887788267,-0.008888888888888887,1.0563348673860797
-0.017352334502846265,-0.007458501107485271,-0.01,0.10937163490163673
-0.01735233564568683,-0.007458501980771829,-0.008888888888888887,1.065312360535433
-0.016392570535349347,-0.006805742210080106,-0.009999999999999998,0.690470709406797
-0.016392570535349347,-0.006805742210080105,-0.008888888888888887,0.813492026817269
-0.01535315464592178,-0.008506230994570386,-0.007777777777777776,0.8470188394493882
-0.015787036663087284,-0.0077555772296802414,-0.007777777777777776,0.8570371545524794
-0.015821649228317684,-0.009175642829199592,-0.007777777777777776,1.0547146049230944
-0.016618813096266064,-0.008345415887788267,-0.007777777777777776,1.050766803461348
-0.01432387580664744,-0.008582085040346712,-0.009999999999999998,0.6627843630461449
-0.01432387580664744,-0.008582085040346712,-0.008888888888888887,0.7748546475123692
-0.01485284552793335,-0.0072411594368152355,-0.009999999999999998,0.7370924123493279
-0.014852845527933348,-0.0072411594368152355,-0.008888888888888887,0.7649324484480354
-0.014968512322459273,-0.009948281543541795,-0.009999999999999998,0.13773398757053507
-0.014968512103982748,-0.009948281285403959,-0.008888888888888887,1.0607235442013458
-0.017352335645686813,-0.007458501980771851,-0.007777777777777778,1.0624633475832619
-0.016392570535349347,-0.006805742210080105,-0.007777777777777776,0.8468338614490274
-0.015442577057671464,-0.006177362352923865,-0.009999999999999998,0.7332913218606925
-0.015442577057671464,-0.006177362352923864,-0.008888888888888887,0.7693780844110444
-0.017011998409438678,-0.005821319635595121,-0.009999999999999998,0.6910705050317385
-0.017011998409438678,-0.005821319635595121,-0.008888888888888887,0.8104840565739817
-0.018013917440187453,-0.006516749123648935,-0.009999999999999997,0.12560241948490672
-0.01801391896707333,-0.006516750105638555,-0.008888888888888885,1.0685364749018773
-0.015353154645921779,-0.008506230994570386,-0.0066666666666666645,0.8190452085661075
-0.015787036663087284,-0.0077555772296802414,-0.0066666666666666645,0.8410364930431772
-0.015821649228317684,-0.009175642829199592,-0.006666666666666663,1.0376210289274155
-0.016618813096266023,-0.008345415887788312,-0.006666666666666663,1.0249736345888472
-0.01432387580664744,-0.008582085040346712,-0.007777777777777776,0.8301983220958211
-0.014968512103982748,-0.009948281285403959,-0.007777777777777778,1.076667266559369
